Gene A	Gene B	Score	Category
P11433	P53046		SL
P11433	P36012		SL
P11433	P31412		SL
P11433	P19073		SL
P11433	P51862		SL
P11433	P40969		SL
P11433	P53859		SL
P11433	P39011		SL
P39723	P47113		SL
P39723	P26448		SL
Q01574	P52910		SL
P27825	P53732		SL
P39715	P40010		SL
P39715	P0CX45		SL
P39714	P39713		SL
P39708	Q12680		SL
P39705	Q07478		SL
P39705	Q08231		SL
P39705	Q99257		SL
P39706	Q03465		SL
P39706	Q03465		SL
P39706	Q12377		SL
P39706	O94742		SL
P39706	O94742		SL
P39706	P43593		SL
P39706	P43593		SL
P39706	P07273		SL
P39706	P32914		SL
P39706	P23638		SL
P39706	P42935		SL
P39706	P38886		SL
P39706	P38886		SL
P39706	P40318		SL
P39706	Q06706		SL
P39706	Q04868		SL
P39706	Q02908		SL
P39706	Q02884		SL
P22336	P38121		SL
P22336	P38859		SL
P22336	P35187		SL
P22336	P32829		SL
P22336	P21951		SL
P22336	P26754		SL
P22336	P40339		SL
P22336	P39875		SL
P27637	P32598		SL
P27637	P41832		SL
P27636	P22204		SL
P27636	P22204		SL
P27636	P22204		SL
P27636	Q00772		SL
P27636	Q01389		SL
P27636	P38987		SL
P27636	P32562		SL
P27636	P32562		SL
P27636	P40341		SL
P38210	Q9URQ5		SL
P38210	Q06639		SL
P38210	P32832		SL
P32790	P15891		SL
P32790	P15891		SL
P32790	P14682		SL
P32790	P39743		SL
P32790	P32521		SL
P32479	P25644		SL
P32479	Q06406		SL
P32479	P32617		SL
P32479	P32914		SL
P32479	P47017		SL
P32479	P35817		SL
P32479	P46963		SL
P32479	P35209		SL
P32479	P53905		SL
P32479	Q12495		SL
P32785	Q12089		SL
P16892	P21268		SL
P38207	P38111		SL
P38207	P14737		SL
P38207	P06778		SL
P38207	Q04964		SL
P38207	P06838		SL
P38207	P06777		SL
P38207	P06777		SL
P38207	P22216		SL
P29469	P38111		SL
P29469	P38147		SL
P29469	P25559		SL
P29469	P25626		SL
P29469	P25627		SL
P29469	P24279		SL
P29469	P38877		SL
P29469	P32354		SL
P29469	P27801		SL
P29469	P12753		SL
P29469	P22216		SL
P29469	P22216		SL
P29469	P41807		SL
P29469	Q01454		SL
P18239	P38988		SL
P18239	P39952		SL
P18239	P04037		SL
P18239	P40961		SL
P18239	P50085		SL
P18239	P23641		SL
P18239	P07143		SL
P18239	P32795		SL
P18239	P32795		SL
P18239	P32795		SL
P38199	P31384		SL
P38199	P51862		SL
P38198	P38181		SL
P38198	P38265		SL
P38198	P38305		SL
P38198	P25037		SL
P38198	P46674		SL
P38198	P38907		SL
P38198	Q06675		SL
P38198	Q02647		SL
P38198	Q01560		SL
P38198	P40960		SL
P38198	P40005		SL
P38198	P40005		SL
P38198	P39937		SL
P38198	P40013		SL
P38198	Q01477		SL
P38198	P40957		SL
P38198	P22147		SL
P38198	P22147		SL
P38198	P53086		SL
P38198	P48363		SL
P38198	P48363		SL
P38198	P41695		SL
P38198	P38696		SL
P38198	P38877		SL
P38198	P40532		SL
P38198	P47074		SL
P38198	P40958		SL
P38198	P47123		SL
P38198	P47167		SL
P38198	P36022		SL
P38198	Q07887		SL
P38198	P52553		SL
P38198	P52553		SL
P38198	Q12748		SL
P38198	Q04493		SL
P38198	Q04493		SL
P38198	P52593		SL
P38198	P09734		SL
P38198	P49956		SL
P38198	P36224		SL
P38198	Q04949		SL
P38198	P53900		SL
P38198	P53900		SL
P38198	P53851		SL
P38198	P26449		SL
P38198	P50275		SL
P38198	P39946		SL
P38198	P40987		SL
P38198	Q02732		SL
P38198	P33420		SL
P38198	P46670		SL
P38198	Q12045		SL
P38198	P32526		SL
P28274	P38627		SL
P28274	P38627		SL
P34216	P39940		SL
P34216	P32521		SL
P34216	P39013		SL
P32602	P18759		SL
P32602	P36149		SL
P34217	Q00772		SL
P34217	Q01389		SL
P34218	Q02336		SL
P34218	P32657		SL
P34218	Q03330		SL
P34218	Q12072		SL
P34221	P29461		SL
P34223	P32598		SL
P34223	P36047		SL
P34223	Q04228		SL
P34223	P41818		SL
P34226	P32599		SL
P34226	P50108		SL
P34226	P39743		SL
P34226	P53154		SL
P34226	P32566		SL
P34226	Q01389		SL
P34226	P47155		SL
P34226	P37370		SL
P34226	P38631		SL
P34226	P38631		SL
P34226	P23642		SL
P34226	P17536		SL
P34226	P41832		SL
P28742	P27895		SL
P28742	P27895		SL
P28742	P25302		SL
P28742	P09959		SL
P28742	P24869		SL
Q3E840	P31386		SL
P0CX39	P0CX40		SL
P38181	P40368		SL
P38181	P32499		SL
P38181	P53930		SL
P0CX41	P0CX42		SL
P38110	P32807		SL
P38170	P25644		SL
P38170	O13329		SL
P38170	Q05543		SL
P38170	Q06680		SL
P38170	Q04087		SL
P38170	P27895		SL
P38170	P40013		SL
P38170	P48363		SL
P38170	P30822		SL
P38170	Q02208		SL
P38170	Q04493		SL
P38170	P25491		SL
P38170	P12753		SL
P38170	P04786		SL
P38170	P50275		SL
P38170	Q01454		SL
P38170	P17119		SL
P07251	P40012		SL
P07251	P53312		SL
P07251	P20967		SL
P07251	P33421		SL
P07251	Q12287		SL
P07251	Q06143		SL
P07251	P08417		SL
P38167	Q12502		SL
P38166	P23643		SL
P38166	Q01590		SL
P38166	Q03554		SL
P24583	P38293		SL
P24583	Q9URQ5		SL
P24583	P25625		SL
P24583	P25641		SL
P24583	Q07622		SL
P24583	P14737		SL
P24583	P25302		SL
P24583	P25302		SL
P24583	P25302		SL
P24583	P25302		SL
P24583	P27705		SL
P24583	P40509		SL
P24583	P32597		SL
P24583	P40367		SL
P24583	Q01389		SL
P24583	P05375		SL
P24583	P36022		SL
P24583	P23201		SL
P24583	Q12150		SL
P24583	Q01649		SL
P24583	P36224		SL
P24583	P41832		SL
P24583	P41821		SL
P24583	P48439		SL
P24583	P22516		SL
P24583	Q02732		SL
P24583	Q02642		SL
P02309	P32447		SL
P61830	P06843		SL
P61830	P32558		SL
P61830	P40567		SL
P61830	Q08963		SL
P38069	P35206		SL
P38069	Q00772		SL
P38069	Q01389		SL
P08431	P38709		SL
P08431	P32861		SL
P29465	P32599		SL
P29465	P50108		SL
P29465	P32629		SL
P29465	P39106		SL
P29465	P43568		SL
P29465	P14724		SL
P29465	P32566		SL
P29465	P08964		SL
P29465	Q01389		SL
P29465	P32458		SL
P29465	P47155		SL
P29465	P37370		SL
P29465	P38631		SL
P29465	P23642		SL
P29465	P32562		SL
P29465	P22146		SL
P29465	P22146		SL
P29465	P41832		SL
P29465	P48562		SL
P10664	P49626		SL
P38074	Q03782		SL
P38074	Q01560		SL
P38074	Q01560		SL
P38074	Q01560		SL
P38074	P34160		SL
P38074	P34160		SL
P35206	P40485		SL
P35206	P53955		SL
P14180	P29465		SL
P14180	P29465		SL
P38236	P13382		SL
P32833	P31380		SL
P32833	P38132		SL
P32833	P38144		SL
P32833	P25559		SL
P32833	P25588		SL
P32833	P06243		SL
P32833	P06243		SL
P32833	P25693		SL
P32833	P38953		SL
P32833	P14737		SL
P32833	Q05543		SL
P32833	P46676		SL
P32833	P39984		SL
P32833	P40013		SL
P32833	P32641		SL
P32833	Q00684		SL
P32833	Q00684		SL
P32833	P38633		SL
P32833	P53108		SL
P32833	P45820		SL
P32833	P53064		SL
P32833	P38877		SL
P32833	P12954		SL
P32833	P32447		SL
P32833	P47017		SL
P32833	P47110		SL
P32833	P33417		SL
P32833	P21576		SL
P32833	Q07794		SL
P32833	P54790		SL
P32833	P06778		SL
P32833	P32562		SL
P32833	Q04659		SL
P32833	P49956		SL
P32833	P35187		SL
P32833	Q01649		SL
P32833	P22146		SL
P32833	P53840		SL
P32833	P48562		SL
P32833	P53741		SL
P32833	P53685		SL
P32833	P53687		SL
P32833	Q12341		SL
P32833	P30665		SL
P32833	Q01454		SL
P38238	P15565		SL
P38241	Q02775		SL
P38241	P40968		SL
P38241	P15938		SL
P38248	P14682		SL
P18759	P46951		SL
P18759	P33201		SL
P18759	P36149		SL
P18759	P41733		SL
P18759	Q03630		SL
P18759	P53538		SL
P18759	Q08273		SL
P18759	P07274		SL
P18759	P46961		SL
P18759	P07703		SL
P35177	P32259		SL
P35177	P19659		SL
P35177	P22082		SL
P15731	P15732		SL
P15731	P15732		SL
P15731	P15732		SL
P15731	P21734		SL
P0CX82	P0CX83		SL
P09440	Q12089		SL
P18238	P32599		SL
P38250	P47040		SL
P38251	P15873		SL
P38251	P33317		SL
P38251	Q99207		SL
P38251	P04819		SL
P38251	Q03406		SL
P38251	P38883		SL
P38251	P47027		SL
P38251	P04802		SL
P38251	Q08032		SL
P38251	P13382		SL
P38251	P53540		SL
P38251	P26754		SL
P38251	P19524		SL
P15873	P10862		SL
P15873	P25301		SL
P15873	P52490		SL
P15873	Q04049		SL
P15873	P53152		SL
P15873	P32849		SL
P15873	P06778		SL
P15873	P06778		SL
P15873	P06778		SL
P15873	P28519		SL
P15873	P40151		SL
P15873	P12753		SL
P15873	P38630		SL
P15873	P38630		SL
P11633	P32558		SL
P11633	P27692		SL
P11633	Q04636		SL
P32830	P35177		SL
P38257	Q12175		SL
P38257	Q06340		SL
P38257	P26793		SL
P38257	P26793		SL
P38257	P13099		SL
P38257	P13099		SL
P38257	Q05934		SL
P38257	P35187		SL
P38257	P35187		SL
P38257	P35187		SL
P38257	P35187		SL
P38257	P35187		SL
P38257	Q12050		SL
P38257	Q02685		SL
P38257	Q02685		SL
P38257	Q02685		SL
P38261	P15873		SL
P38261	P39014		SL
P38261	P36149		SL
P38261	P07274		SL
P38265	Q12158		SL
P38265	Q04002		SL
P38265	P40013		SL
P38265	P43605		SL
P38265	P47037		SL
P38265	P52553		SL
P38265	P13099		SL
P38265	P09733		SL
P38265	P26449		SL
P38265	P17119		SL
P06787	P50108		SL
P06787	P32629		SL
P06787	P53223		SL
P06787	P19524		SL
P06787	P19524		SL
P16661	P20437		SL
P16661	P20438		SL
Q6WNK7	P25644		SL
Q6WNK7	P47017		SL
Q6WNK7	P34232		SL
Q6WNK7	Q99257		SL
P14922	P22579		SL
P31244	P40352		SL
P33315	P11412		SL
P32605	P36084		SL
P07253	P38247		SL
P07253	P53290		SL
P07253	Q02205		SL
Q00764	P38427		SL
Q00764	P38426		SL
P16140	P32477		SL
P16140	P47142		SL
P16140	P00445		SL
P16140	P39929		SL
P16140	P22543		SL
P16140	P32352		SL
P16140	P25045		SL
P16140	P39013		SL
P16140	P33338		SL
P16140	P53731		SL
P16140	P52917		SL
P38271	P40559		SL
P38271	P50942		SL
P38274	P35177		SL
P38274	Q03330		SL
P38274	P38827		SL
P38274	P32561		SL
P38274	P22579		SL
P20486	P40316		SL
P38111	P38110		SL
P38111	P06243		SL
P38111	P50623		SL
P38111	P49723		SL
P38111	P26793		SL
P38111	P06778		SL
P38111	P06838		SL
P38111	P12753		SL
P38111	P06777		SL
P38111	P22216		SL
P38277	P32361		SL
P38112	P40007		SL
P38112	P38805		SL
P38112	P36105		SL
P38112	P36049		SL
P20434	Q07532		SL
P20434	P04050		SL
P38283	P40013		SL
P38286	P25358		SL
P38286	P40471		SL
P00546	P06243		SL
P00546	P40316		SL
P00546	Q03761		SL
P00546	P02293		SL
P00546	P43568		SL
P00546	P53197		SL
P00546	P10961		SL
P00546	P26309		SL
P00546	P53068		SL
P00546	P46677		SL
P00546	Q00772		SL
P00546	P16522		SL
P00546	P32521		SL
P00546	P09798		SL
P00546	P32562		SL
P00546	P25491		SL
P00546	P24869		SL
P00546	P24869		SL
P38287	P39726		SL
P38287	P38069		SL
P38287	P38288		SL
P38287	P32473		SL
P38287	Q06385		SL
P38287	P09624		SL
P38287	P31755		SL
P38287	P53157		SL
P38287	P41544		SL
P38287	P46985		SL
P38287	P32368		SL
P38287	P21576		SL
P38287	Q12205		SL
P38287	P54787		SL
P38287	P12695		SL
P38287	P39107		SL
P38287	P54070		SL
P38287	P33300		SL
P38287	Q02785		SL
P38116	P11076		SL
P38116	P46944		SL
P38116	P16664		SL
P38116	Q12163		SL
P38116	P40056		SL
P38116	P38682		SL
P38116	P53195		SL
P38116	P40527		SL
P38116	P47103		SL
P38116	P32341		SL
P38116	P21576		SL
P38116	P36116		SL
P38116	P40395		SL
P38116	Q99260		SL
P38116	Q04632		SL
P38116	P53959		SL
P38116	P53951		SL
P38116	P48563		SL
P38116	P48563		SL
P38116	Q08484		SL
P38290	P41920		SL
P38290	P14682		SL
P33755	P25694		SL
P32909	P06105		SL
P32909	P36041		SL
P32909	P38011		SL
P32909	P38934		SL
P38123	P38326		SL
P38123	Q03465		SL
P38123	Q03465		SL
P38123	Q12377		SL
P38123	Q05471		SL
P38123	Q05471		SL
P38123	O94742		SL
P38123	P43593		SL
P38123	P07273		SL
P38123	P32914		SL
P38123	P23638		SL
P38123	P23638		SL
P38123	P42935		SL
P38123	P38886		SL
P38123	Q12509		SL
P38123	Q06706		SL
P38123	Q03433		SL
P38123	Q04868		SL
P38123	Q12692		SL
P38123	Q02908		SL
P38123	Q02884		SL
P38122	P25621		SL
P38298	Q02896		SL
P38126	P48581		SL
P38302	P53277		SL
Q02753	Q12672		SL
P13712	P52891		SL
P38129	P50105		SL
P29366	P11433		SL
P29366	P11433		SL
P29366	P33332		SL
P29366	P39960		SL
P29366	P39960		SL
P29366	P22224		SL
P29366	P32566		SL
P29366	P41832		SL
P29366	P21339		SL
P38319	P38838		SL
P38319	P06777		SL
P38324	P35187		SL
P38324	Q02685		SL
P38326	P38123		SL
P38326	Q07457		SL
P38326	Q03323		SL
P38326	P39995		SL
P38326	P06104		SL
P38326	P40957		SL
P38326	P53064		SL
P38326	P43132		SL
P38326	Q06697		SL
P38326	P53911		SL
P38326	P38439		SL
P38326	P40987		SL
P38326	Q02732		SL
P38326	Q02796		SL
P38326	Q03012		SL
P38326	P46670		SL
P38328	P34226		SL
P38328	P29465		SL
P38328	P29465		SL
P38328	P33754		SL
P38328	P33754		SL
P38328	P29366		SL
P38328	P29366		SL
P38328	P32599		SL
P38328	P32599		SL
P38328	P46676		SL
P38328	P40005		SL
P38328	P40005		SL
P38328	P39986		SL
P38328	P40056		SL
P38328	P38682		SL
P38328	P38682		SL
P38328	P40091		SL
P38328	P39960		SL
P38328	P39960		SL
P38328	P43612		SL
P38328	P33400		SL
P38328	Q00772		SL
P38328	Q00772		SL
P38328	P38843		SL
P38328	P39077		SL
P38328	Q01389		SL
P38328	Q01389		SL
P38328	P40955		SL
P38328	P40955		SL
P38328	P46985		SL
P38328	P46985		SL
P38328	P47103		SL
P38328	P47124		SL
P38328	P47124		SL
P38328	P47154		SL
P38328	P47155		SL
P38328	P47155		SL
P38328	P52553		SL
P38328	P22214		SL
P38328	P22214		SL
P38328	Q12114		SL
P38328	P37370		SL
P38328	P37370		SL
P38328	Q05933		SL
P38328	Q05933		SL
P38328	Q04439		SL
P38328	Q01649		SL
P38328	P53900		SL
P38328	P53900		SL
P38328	P53858		SL
P38328	P48562		SL
P38328	P48562		SL
P38328	P17260		SL
P38328	P17260		SL
P38328	P51534		SL
P38328	P51534		SL
P38328	Q12234		SL
P38328	Q12234		SL
P38328	P32842		SL
P38328	P32842		SL
P38144	Q05471		SL
P38144	Q06337		SL
P38144	P38806		SL
P38144	P53930		SL
P38144	Q12692		SL
P38144	Q12692		SL
P38144	Q12432		SL
P32570	P33317		SL
P32570	P11747		SL
P38334	Q08144		SL
P38334	Q02804		SL
P38339	P08964		SL
P38339	Q00245		SL
P38339	P36027		SL
P38339	P36027		SL
P38339	P37370		SL
P38339	P54867		SL
P38339	P54867		SL
P38339	Q12446		SL
P38339	Q12446		SL
P37292	P07245		SL
P37292	P47125		SL
P37292	P37291		SL
P37292	Q05979		SL
P38344	Q12263		SL
P38344	P34244		SL
P38344	Q06709		SL
P38344	P48562		SL
P38348	P43593		SL
P38147	P25588		SL
P38147	P39009		SL
P38147	P39009		SL
P27344	P25644		SL
P38351	P31384		SL
P38351	P31384		SL
P38351	Q03465		SL
P38351	P17629		SL
P38351	O94742		SL
P38351	P25302		SL
P38351	P43593		SL
P38351	P07273		SL
P38351	P07273		SL
P38351	P32558		SL
P38351	P32914		SL
P38351	P32585		SL
P38351	P23638		SL
P38351	P42935		SL
P38351	P38886		SL
P38351	Q03957		SL
P38351	P09959		SL
P38351	Q06706		SL
P38351	Q03254		SL
P38351	Q04868		SL
P38351	Q02908		SL
P38351	Q02884		SL
P38153	P23643		SL
P38153	P38932		SL
P38153	P39013		SL
P38153	P32854		SL
P38153	P36017		SL
P38359	P53273		SL
P38359	Q12325		SL
P38361	P05453		SL
P38361	P39535		SL
P38361	P27514		SL
P25578	P18239		SL
P25578	P53230		SL
P25558	P27895		SL
P25559	P07866		SL
P25559	P07866		SL
P25559	P25588		SL
P25559	P25588		SL
P25559	Q03465		SL
P25559	P39001		SL
P25559	P14737		SL
P25559	P32628		SL
P25559	P27895		SL
P25559	P39937		SL
P25559	P40013		SL
P25559	P40013		SL
P25559	P40015		SL
P25559	P32908		SL
P25559	P14724		SL
P25559	P40957		SL
P25559	P22147		SL
P25559	P53064		SL
P25559	P41695		SL
P25559	P38766		SL
P25559	P38886		SL
P25559	P40958		SL
P25559	P12954		SL
P25559	P12954		SL
P25559	P34244		SL
P25559	P34760		SL
P25559	Q04493		SL
P25559	Q04659		SL
P25559	Q04659		SL
P25559	Q04659		SL
P25559	P35209		SL
P25559	Q01649		SL
P25559	Q01649		SL
P25559	P32829		SL
P25559	P53900		SL
P25559	P12753		SL
P25559	P53840		SL
P25559	P48562		SL
P25559	Q08581		SL
P25559	P46670		SL
P25559	P41807		SL
P25559	P24869		SL
P25559	P30283		SL
P25559	Q01454		SL
P25559	Q01454		SL
P25559	P17119		SL
P04173	Q03770		SL
P11709	P0CX83		SL
P11709	P25364		SL
P11709	P25644		SL
P11709	Q05543		SL
P11709	P40005		SL
P11709	P27895		SL
P11709	P39937		SL
P11709	P40013		SL
P11709	P40013		SL
P11709	P39000		SL
P11709	P02557		SL
P11709	P34756		SL
P11709	P04449		SL
P11709	P40957		SL
P11709	P22147		SL
P11709	P48363		SL
P11709	P41695		SL
P11709	P52553		SL
P11709	P09733		SL
P11709	Q04493		SL
P11709	P09734		SL
P11709	P26448		SL
P11709	P50942		SL
P11709	P53900		SL
P11709	Q12692		SL
P11709	P26449		SL
P11709	P26449		SL
P11709	P50275		SL
P11709	P50275		SL
P11709	P40987		SL
P11709	P46670		SL
P11709	P32526		SL
P11709	P32526		SL
P25344	P25390		SL
P25344	P41809		SL
P25344	P32334		SL
P25344	P53599		SL
P25344	P06776		SL
P25566	P36088		SL
P25373	P17695		SL
P25567	P17536		SL
P17709	P04806		SL
P17709	P04807		SL
P17967	P39702		SL
P17967	P31386		SL
P17967	P39727		SL
P17967	P38064		SL
P17967	P34223		SL
P17967	P38165		SL
P17967	P38226		SL
P17967	P38237		SL
P17967	P38082		SL
P17967	P15731		SL
P17967	P38264		SL
P17967	P38273		SL
P17967	P18963		SL
P17967	P38116		SL
P17967	P33754		SL
P17967	P13712		SL
P17967	P38153		SL
P17967	P25333		SL
P17967	P25656		SL
P17967	Q07451		SL
P17967	Q07454		SL
P17967	Q12154		SL
P17967	P54860		SL
P17967	Q02774		SL
P17967	P35197		SL
P17967	Q03201		SL
P17967	Q04311		SL
P17967	P16664		SL
P17967	Q12163		SL
P17967	Q03956		SL
P17967	P22580		SL
P17967	Q06677		SL
P17967	P39743		SL
P17967	Q04121		SL
P17967	Q03373		SL
P17967	Q03419		SL
P17967	P39991		SL
P17967	P39986		SL
P17967	P39923		SL
P17967	P39101		SL
P17967	P40046		SL
P17967	P52870		SL
P17967	P10355		SL
P17967	P41546		SL
P17967	P43603		SL
P17967	P53179		SL
P17967	P53088		SL
P17967	P53037		SL
P17967	P50089		SL
P17967	P07276		SL
P17967	P38742		SL
P17967	P33400		SL
P17967	P38759		SL
P17967	P07347		SL
P17967	P32361		SL
P17967	Q9P305		SL
P17967	P38838		SL
P17967	P38856		SL
P17967	P40509		SL
P17967	P40454		SL
P17967	P21657		SL
P17967	P41544		SL
P17967	P47068		SL
P17967	P47064		SL
P17967	P40309		SL
P17967	P26725		SL
P17967	P34110		SL
P17967	P38970		SL
P17967	P39531		SL
P17967	P22696		SL
P17967	P47104		SL
P17967	P37020		SL
P17967	P47142		SL
P17967	P31116		SL
P17967	P36039		SL
P17967	P21576		SL
P17967	P36024		SL
P17967	Q07800		SL
P17967	Q07878		SL
P17967	Q04673		SL
P17967	Q12150		SL
P17967	Q12500		SL
P17967	Q02983		SL
P17967	P0CX33		SL
P17967	Q06703		SL
P17967	Q06159		SL
P17967	Q06162		SL
P17967	Q05919		SL
P17967	Q05933		SL
P17967	Q06706		SL
P17967	Q06058		SL
P17967	Q06696		SL
P17967	P49957		SL
P17967	P54003		SL
P17967	Q04651		SL
P17967	Q04632		SL
P17967	Q03104		SL
P17967	Q04272		SL
P17967	Q04299		SL
P17967	Q03880		SL
P17967	P25303		SL
P17967	P53923		SL
P17967	P39006		SL
P17967	P08004		SL
P17967	P11412		SL
P17967	Q08109		SL
P17967	P22517		SL
P17967	P07280		SL
P17967	P40351		SL
P17967	Q08484		SL
P17967	P36017		SL
P17967	Q12271		SL
P17967	P32913		SL
P17967	Q12125		SL
P17967	Q12015		SL
P17967	Q12483		SL
P17967	P53388		SL
P17967	Q06091		SL
P25573	Q04472		SL
P16550	P08536		SL
P25580	Q03103		SL
P25588	P04912		SL
P25588	P61830		SL
P25588	P32833		SL
P25588	P15873		SL
P25588	P25559		SL
P25588	P52891		SL
P25588	P14737		SL
P25588	P14737		SL
P25588	P14737		SL
P25588	P14737		SL
P25588	P04911		SL
P25588	P32641		SL
P25588	P32641		SL
P25588	P08964		SL
P25588	P38766		SL
